frame_id,label
2985,SAFE
3000,SAFE
3015,SAFE
3030,SAFE
3045,SAFE
3060,SAFE
3075,RISKY
3090,RISKY
3105,RISKY
3120,RISKY
3135,RISKY
3150,RISKY
3165,RISKY
3180,RISKY
3195,RISKY
3210,RISKY
3225,RISKY
3240,RISKY
3255,RISKY
3270,RISKY
3285,RISKY
3300,RISKY
3315,RISKY
3330,RISKY
3345,RISKY
3360,RISKY
3375,RISKY
3390,RISKY
3405,RISKY
3420,RISKY
3435,RISKY
3450,RISKY
3465,RISKY
3480,RISKY
3495,RISKY
3510,RISKY
3525,RISKY
3540,RISKY
3555,RISKY
3570,RISKY
3585,RISKY
3600,RISKY
3615,RISKY
3630,RISKY
3645,RISKY
3660,RISKY
3675,RISKY
3690,RISKY
3705,RISKY
3720,RISKY
3735,RISKY
3750,RISKY
3765,RISKY
3780,RISKY
3795,RISKY
3810,RISKY
3825,RISKY
3840,RISKY
3855,RISKY
3870,RISKY
3885,RISKY
3900,RISKY
3915,RISKY
3930,RISKY
3945,RISKY
3960,RISKY
3975,RISKY
3990,RISKY
4005,RISKY
4020,RISKY
4035,RISKY
4050,RISKY
4065,RISKY
4080,RISKY
4095,RISKY
4110,RISKY
4125,RISKY
4140,RISKY
4155,RISKY
4170,RISKY
4185,RISKY
4200,RISKY
4215,RISKY
4230,RISKY
4245,RISKY
4260,RISKY
4275,RISKY
4290,RISKY
4305,RISKY
4320,RISKY
4335,RISKY
4350,RISKY
4365,SAFE
4380,SAFE
4395,RISKY
4410,RISKY
4425,RISKY
4440,RISKY
4455,RISKY
4470,RISKY
4485,RISKY
4500,RISKY
4515,RISKY
4530,RISKY
4545,RISKY
4560,RISKY
4575,RISKY
4590,RISKY
4605,RISKY
4620,RISKY
4635,RISKY
4650,RISKY
4665,RISKY
4680,RISKY
4695,RISKY
4710,RISKY
4725,RISKY
4740,RISKY
4755,RISKY
4770,RISKY
4785,RISKY
4800,RISKY
4815,RISKY
4830,RISKY
4845,RISKY
4860,RISKY
4875,RISKY
4890,RISKY
4905,RISKY
4920,RISKY
4935,RISKY
4950,RISKY
4965,RISKY
4980,RISKY
4995,RISKY
5010,RISKY
5025,RISKY
5040,RISKY
5055,RISKY
5070,RISKY
5085,RISKY
5100,RISKY
5115,RISKY
5130,RISKY
5145,RISKY
5160,RISKY
5175,RISKY
5190,RISKY
5205,RISKY
5220,RISKY
5235,RISKY
5250,RISKY
5265,RISKY
5280,RISKY
5295,RISKY
5310,RISKY
5325,RISKY
5340,RISKY
5355,RISKY
5370,RISKY
5385,RISKY
